flat_threshold,flat_threshold_pct,variant,product,tp,fp,fn,precision_flat,recall_flat,n_true_flat,n_pred_flat
0.02235897435897436,2.235897435897436,2,urea,2,3,31,0.4,0.06060606060606061,33,5
0.02235897435897436,2.235897435897436,2,dap,3,4,47,0.42857142857142855,0.06,50,7
0.02235897435897436,2.235897435897436,2,mop,2,10,46,0.16666666666666666,0.041666666666666664,48,12
0.02235897435897436,2.235897435897436,3,urea,6,10,27,0.375,0.18181818181818182,33,16
0.02235897435897436,2.235897435897436,3,dap,5,6,45,0.45454545454545453,0.1,50,11
0.02235897435897436,2.235897435897436,3,mop,8,13,40,0.38095238095238093,0.16666666666666666,48,21
0.023615384615384618,2.3615384615384616,1,urea,1,2,35,0.3333333333333333,0.027777777777777776,36,3
0.023615384615384618,2.3615384615384616,1,dap,0,3,52,0.0,0.0,52,3
0.023615384615384618,2.3615384615384616,1,mop,2,4,48,0.3333333333333333,0.04,50,6
0.023615384615384618,2.3615384615384616,2,urea,2,3,34,0.4,0.05555555555555555,36,5
0.023615384615384618,2.3615384615384616,2,dap,3,4,49,0.42857142857142855,0.057692307692307696,52,7
0.023615384615384618,2.3615384615384616,2,mop,2,10,48,0.16666666666666666,0.04,50,12
0.023615384615384618,2.3615384615384616,3,urea,7,9,29,0.4375,0.19444444444444445,36,16
0.023615384615384618,2.3615384615384616,3,dap,6,5,46,0.5454545454545454,0.11538461538461539,52,11
0.023615384615384618,2.3615384615384616,3,mop,8,13,42,0.38095238095238093,0.16,50,21
0.02487179487179487,2.4871794871794872,1,urea,1,2,35,0.3333333333333333,0.027777777777777776,36,3
0.02487179487179487,2.4871794871794872,1,dap,0,3,54,0.0,0.0,54,3
0.02487179487179487,2.4871794871794872,1,mop,2,4,50,0.3333333333333333,0.038461538461538464,52,6
0.02487179487179487,2.4871794871794872,2,urea,2,3,34,0.4,0.05555555555555555,36,5
